,Rk,Pos,Player,College,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
28,28,SF,Teddy Allen,New Mexico State,34,33.4,19.6,6.3,14.4,0.438,2.2,6.6,0.335,4.8,5.5,0.876,1,5.7,6.7,2.6,1.2,0.1,2.8,2.3
29,29,PG,Jahmir Young,Charlotte,31,35.8,19.6,6.8,14.5,0.468,1.8,5.3,0.341,4.3,4.8,0.892,0.7,5.2,5.9,3.7,1.1,0.5,2.1,1
30,30,C,Jake Stephens,Virginia Military,30,33.1,19.6,6.6,12,0.551,2.5,5,0.49,3.8,4.8,0.804,1.7,7.3,9,3.3,0.5,2,2.5,2.1
31,31,C,Graham Ike,Wyoming,33,31.7,19.5,7.3,14.3,0.51,0.1,0.3,0.273,4.8,6.7,0.716,2.8,6.8,9.6,1.3,0.7,0.3,3.3,3.3
32,32,C,Orlando Robinson,Fresno State,36,33,19.4,7,14.4,0.484,1,2.9,0.352,4.5,6.3,0.716,2.6,5.8,8.4,2.9,1,1.2,2.5,2.4
33,33,PG,Kendric Davis,Southern Methodist,32,34.7,19.4,5.8,13.1,0.439,2.4,6.5,0.372,5.5,6.4,0.868,0.5,3.3,3.8,4.4,1.5,0.1,2.7,2.1
34,34,PF,E.J. Liddell,Ohio State,32,33.2,19.4,6.3,12.9,0.49,1.4,3.8,0.374,5.3,6.9,0.765,2.3,5.7,7.9,2.5,0.6,2.5,2.4,2.5
35,35,PG,Ques Glover,Samford,29,31.1,19.2,7,15,0.468,1.1,3.6,0.308,4.1,5.2,0.789,0.6,2.2,2.8,4.4,1.2,0,2.8,2.2
36,36,PF,Julian Champagnie,St. John’s,31,34.3,19.2,7.1,17.2,0.414,2.1,6.2,0.337,2.9,3.7,0.781,1.4,5.3,6.6,2,2,1.1,1.5,1.5
37,37,PF,Tyrn Flowers,Long Island,29,34.7,19.2,7,15.3,0.454,3,7.7,0.39,2.3,3,0.75,2.2,5.6,7.8,3.2,1.4,1.6,2.4,1.7
38,38,PF,David Roddy,Colorado State,31,32.9,19.2,7.2,12.5,0.571,1.5,3.4,0.438,3.4,4.9,0.691,1.8,5.7,7.5,2.9,1.2,1.1,2.3,2.3
39,39,PG,Azar Swain,Yale,31,34.5,19.2,6.5,15.5,0.42,2.3,6.5,0.348,3.9,4.4,0.891,0.4,3.8,4.1,1.6,0.8,0.1,2.3,1.2
40,40,SG,Buddy Boeheim,Syracuse,32,37.8,19.2,6.7,16.4,0.406,2.8,8,0.342,3.1,3.5,0.884,0.6,2.8,3.4,3.1,1.5,0.1,1.8,1.7
41,41,SG,"Jeenathan Williams, Jr.",Buffalo,29,32.6,19.1,7.5,15.3,0.49,2.1,4.6,0.451,2.1,3,0.69,1.1,3.9,5,2.9,1.4,0.8,2.9,1.4
42,42,SG,Taevion Kinsey,Marshall,31,37,19.1,7.1,16.5,0.429,0.5,3,0.183,4.4,5.9,0.745,2.2,2.9,5.1,4.2,1,0.1,2.7,1.5
43,43,PG,Grant Sherfield,Nevada,28,35.7,19.1,6.7,15.4,0.435,1.6,4.8,0.333,4.1,4.7,0.871,0.2,4,4.2,6.4,0.6,0,3.3,2
44,44,PF,Bryce Fowler,Sacramento State,29,33.4,19,7.5,15,0.499,0.7,2,0.322,3.4,4.9,0.692,0.9,4.3,5.3,4,1.4,0.3,2.4,2.3
45,45,C,Fardaws Aimaq,Utah Valley,32,34.3,18.9,6.9,14.2,0.489,0.6,1.4,0.435,4.4,6.1,0.723,3,10.5,13.5,1.7,0.7,1.3,2.9,2.7
46,46,SF,M.J. Randolph,Florida A&M,30,38.6,18.9,7,14.9,0.467,0.4,1.5,0.239,4.6,6.7,0.687,1.4,4.8,6.2,3.5,2,0.1,3.4,2.1
47,47,SF,Jose Perez,Manhattan,30,33.2,18.9,5.9,14.9,0.399,1,3.7,0.259,6.1,7.6,0.802,0.7,2.5,3.2,4.5,0.8,0.4,3.3,1.6
48,48,SG,Cam Spencer,Loyola (MD),30,37,18.9,6.9,14.8,0.468,2,5.6,0.353,3,3.5,0.858,0.5,4.3,4.8,3.2,2.3,0.2,1.3,1.5
49,49,SG,Ryan Rollins,Toledo,34,32.7,18.9,6.8,14.6,0.468,1.4,4.4,0.311,3.8,4.8,0.802,0.7,5.3,6,3.6,1.7,0.3,2.2,2.4
50,50,PG,Jalen Cone,Northern Arizona,32,34.7,18.8,6.2,15.9,0.387,2.9,8.3,0.352,3.6,4.3,0.827,0.6,2.4,3,3.6,0.7,0,3.7,2.3
51,51,PG,A.J. Green,Northern Iowa,31,36.4,18.8,5.6,13.8,0.41,3,7.7,0.388,4.5,4.9,0.915,0.2,3.5,3.7,2.5,0.8,0,2.2,1.6
52,52,SG,Ochai Agbaji,Kansas,39,35,18.8,6.6,13.9,0.475,2.6,6.5,0.409,2.9,3.9,0.743,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.7
53,53,PF,Hayden Brown,Citadel,30,32.2,18.8,6.9,13.4,0.515,1.1,3.9,0.284,3.9,6.2,0.627,2.2,7.3,9.5,2.3,1.1,0.2,2.3,2.5
54,54,C,Savion Flagg,Sam Houston State,32,33.4,18.6,7.1,16.2,0.436,2.3,6.6,0.351,2.2,4.3,0.515,2.3,5.9,8.2,2.2,1,0.3,2.5,1.7
55,55,C,Hunter Dickinson,Michigan,32,32.2,18.6,7.5,13.3,0.563,0.7,2,0.328,2.9,3.6,0.802,2.3,6.2,8.6,2.3,0.5,1.5,2,2.7
56,56,SG,Alondes Williams,Wake Forest,35,34.1,18.5,6.9,13.6,0.507,1.1,4.1,0.282,3.6,5.2,0.691,1.4,5,6.4,5.2,1.2,0.4,3.6,2.1
57,57,SF,Aaron Estrada,Hofstra,32,35.2,18.5,7.2,15.1,0.477,1.9,5.8,0.33,2.3,2.4,0.935,0.5,5.2,5.7,5,1.5,0.2,2.6,1.3
58,58,SF,Hunter Maldonado,Wyoming,33,37.3,18.5,6.5,13,0.495,0.6,2.5,0.25,4.9,6.9,0.711,1,4.7,5.7,6.3,1.2,0.1,3.7,2.8
59,59,C,Grant Basile,Wright State,36,32.6,18.4,6.9,13.8,0.498,1.1,3.8,0.283,3.6,4.6,0.784,2.6,5.9,8.5,2,0.9,1.6,3,2.8
60,60,PF,Drew Timme,Gonzaga,32,28.1,18.4,7.3,12.4,0.586,0.3,0.9,0.286,3.7,5.4,0.678,1.8,4.9,6.8,2.8,0.3,0.8,2.5,1.6
61,61,PG,J.D. Notae,Arkansas,36,33.1,18.4,6.5,16.4,0.396,2.1,6.9,0.297,3.4,4.4,0.777,0.6,4,4.6,3.7,2.3,0.7,2.9,2.6
62,62,PG,John-Michael Wright,High Point,32,34.9,18.4,6.1,14.9,0.41,2,5.6,0.363,4.2,5.3,0.778,0.7,3.7,4.4,3.4,1,0.3,2.6,2.3
63,63,PF,Trayce Jackson-Davis,Indiana,35,32.3,18.3,7,11.9,0.589,0,0.1,0,4.2,6.2,0.674,2.2,5.9,8.1,1.9,0.6,2.3,1.7,1.9
64,64,SF,Darius Lee,Houston Baptist,27,32.4,18.2,6.7,12.4,0.54,0.6,2,0.291,4.2,5.5,0.77,2.1,6.1,8.2,3.2,2.4,0.3,2.3,1.9
65,65,SG,"Jamal Mashburn, Jr.",New Mexico,32,33.8,18.2,6.5,15.1,0.428,1.6,4.6,0.342,3.7,4.7,0.787,0.3,2.5,2.7,2.1,0.6,0.1,2.1,1.8
66,66,PG,Koby McEwen,Hamilton,33,34.1,18.2,5.4,12,0.453,2.1,5.8,0.352,5.2,6.3,0.832,0.7,3.5,4.2,2.2,1.4,0.3,2.3,2.8
67,67,PG,Marcus Hammond,Niagara,29,34,18.1,6,14,0.43,2.3,6.3,0.37,3.7,4.5,0.831,0.7,4,4.7,2.9,0.8,0.3,2.2,2
68,68,SG,Jalen Williams,Santa Clara,33,34.8,18,6.6,12.9,0.513,1.3,3.2,0.396,3.5,4.3,0.809,0.6,3.8,4.4,4.2,1.2,0.5,2.1,2.5
69,69,C,K.J. Williams,Murray State,34,29.1,18,7.2,13.4,0.537,1.1,3.3,0.327,2.5,3.6,0.699,2.7,5.7,8.4,0.7,1.4,0.6,1.5,2.1
70,70,PG,Jalen Cook,Tulane,24,33.8,18,6,14.1,0.429,2.2,5.5,0.391,3.7,4.7,0.795,0.7,1.8,2.5,3.5,1.6,0.1,2,2.3
